aa	aa
ab	Abkasies
ae	ae
af	Afrikaans
ak	Akan
sq	Albanees
am	Amharies
an	an
ar	Arabies
hy	Armeens
as	Assamees
av	av
ay	Aymara
az	Azeri
bm	Bambara
eu	Baskies
ba	Baskir
be	Belo-Russies
bn	Bengaals
bi	bi
my	Birmaans
bs	Bosnies
br	Bretons
bg	Bulgaars
ch	ch
cv	Chuvash
cr	cr
cu	cu
da	Deens
dv	Divehi
de	Duits
dz	Dzongkha
en	Engels
en-GB	Engels (VK)
en-US	Engels (VSA)
eo	Esperanto
et	Estnies
ee	Ewe
fo	Faroees
ff	ff
fj	Fidjiaans
fi	Fins
fr	Frans
gl	Galisies
lg	Ganda
ka	Georgies
gu	Goedjarati
el	Grieks
gn	Guarani
ht	Haïtiaans
ha	Hausa
he	Hebreeus
hi	Hindi
ho	ho
hu	Hongaars
hz	hz
ie	ie
ga	Iers
ig	Igbo
ik	ik
id	Indonesies
iu	Innuïties
ia	Interlingua
io	io
it	Italiaans
ja	Japannees
jv	Javaans
yi	Jiddisj
kl	Kalaallisut
kn	Kannada
ks	Kasjmirs
ca	Katalaans
kk	Kazaks
km	Khmer
ki	Kikuyu
ky	Kirgisies
kj	kj
ku	Koerdies
kg	Kongolees
ko	Koreaans
kw	Kornies
co	Korsikaans
kr	kr
hr	Kroaties
kv	kv
lo	Lao
la	Latyn
lv	Letties
li	li
ln	Lingaals
lt	Litaus
lu	Luba-Katanga
lb	Luxemburgs
ml	Malabaars
ms	Maleis
mg	Malgassies
mt	Maltees
gv	Manx
mi	Maori
mr	Marathi
mk	Masedonies
mh	mh
mn	Mongools
na	na
nl	Nederlands
ne	Nepalees
ng	ng
no	no
nd	Noord-Ndebele
se	Noord-Sami
nb	Noorse Bokmål
nn	Noorweegse Nynorsk
nv	nv
ny	Nyanja
uk	Oekraïens
ur	Oerdoe
uz	Oezbeeks
oj	oj
oc	Oksitaans
or	Oriya
om	Oromo
os	Osseties
pa	Pandjabi
ps	Pasjto
fa	Persies
pi	pi
pl	Pools
pt	Portugees
qu	Quechua
rm	Reto-Romaans
ro	Roemeens
rn	Rundi
ru	Russies
rw	Rwandees
sm	Samoaans
sg	Sango
sa	Sanskrit
sc	sc
sr	Serwies
sh	sh
sn	Shona
ii	Sichuan Yi
sd	Sindhi
si	Sinhala
zh	Sjinees
gd	Skotse Gallies
sk	Slowaaks
sl	Sloweens
so	Somalies
es	Spaans
nr	Suid-Ndebele
st	Suid-Sotho
su	Sundanees
sw	Swahili
ss	Swazi
sv	Sweeds
tg	Tadzjieks
ty	Tahities
ta	Tamil
tt	Tataars
te	Teloegoe
th	Thai
bo	Tibettaans
ti	Tigrinya
tl	tl
to	Tongaans
cs	Tsjeggies
ce	Tsjetsjen
ts	Tsonga
tn	Tswana
tk	Turkmeens
tr	Turks
tw	tw
ug	Uighur
ve	Venda
vi	Viëtnamees
vo	vo
wa	wa
cy	Wallies
fy	Wes-Fries
wo	Wolof
xh	Xhosa
yo	Yoruba
is	Yslands
za	za
zu	Zoeloe
