ab	abkhazeg
aa	afar
af	afrikaans
ak	akan
de	alamaneg
sq	albaneg
am	amhareg
ar	arabeg
an	aragoneg
hy	armenianeg
as	asameg
av	avar
ae	avesteg
ay	aymara
az	azeri
ba	bachkir
bm	bambara
be	belaruseg
bn	bengali
my	birmaneg
bi	bislama
bs	bosneg
br	brezhoneg
bg	bulgareg
ch	chamorru
da	daneg
dv	divehi
dz	dzongkha
eo	esperanteg
et	estoneg
eu	euskareg
ee	ewe
fo	faeroeg
ff	ff
fj	fidjieg
fi	finneg
fy	frizeg ar Cʼhornôg
gl	galizeg
fr	galleg
lg	ganda
el	gresianeg
gn	guarani
gu	gujarati
ht	haitieg
ha	haousa
he	hebraeg
hz	herero
hi	hindi
ho	hiri motu
hu	hungareg
io	ido
ig	igbo
id	indonezeg
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiaq
is	islandeg
it	italianeg
ga	iwerzhoneg
ja	japaneg
jv	javaneg
ka	jorjianeg
kn	kanareg
kr	kanouri
ks	kashmiri
ca	katalaneg
kk	kazak
qu	kechuaeg
cy	kembraeg
kw	kerneveureg
km	khmer
ki	kikuyu
rw	kinyarwanda
ky	kirgiz
kl	kl
kg	kongo
ko	koreaneg
co	korseg
cr	kri
hr	kroateg
ku	kurdeg
kv	kv
kj	kwanyama
lo	laoseg
la	latin
lv	latvieg
li	limbourgeg
ln	lingala
lt	lituaneg
lu	luba-katanga
lb	luksembourgeg
mk	makedoneg
ml	malayalam
ms	malayseg
mg	malgacheg
mt	malteg
gv	manaveg
mi	maori
mr	marathi
mh	marshall
mn	mongoleg
na	naurueg
nv	navacʼho
nd	ndebele an Norzh
nr	ndebele ar Su
ng	ndonga
nl	nederlandeg
ne	nepaleg
no	norvegeg
nb	norvegeg bokmål
nn	norvegeg nynorsk
ny	nyanja
oj	ojibwa
oc	okitaneg
om	om
or	oriya
os	oseteg
ug	ouigoureg
ur	ourdou
uz	ouzbekeg
ps	pachto
pi	pali
fa	perseg
pl	poloneg
pt	portugaleg
pa	punjabi
rm	romañcheg
ro	roumaneg
rn	rundi
ru	rusianeg
se	sámi an Norzh
sm	samoan
sg	sango
sa	sanskriteg
en	saozneg
en-GB	saozneg RU
en-US	saozneg SU
sc	sardeg
sh	serb-kroateg
sr	serbeg
sn	shona
zh	sinaeg
sd	sindhi
si	singhaleg
gd	skoseg
cu	slavoneg iliz
sk	slovakeg
sl	sloveneg
so	somali
st	sotho ar Su
es	spagnoleg
su	sundaneg
sv	svedeg
sw	swahili
ss	swati
tg	tadjik
tl	tagalog
ty	tahitianeg
ta	tamileg
tt	tatar
cs	tchekeg
ce	tchetcheneg
cv	tchouvatch
te	telougou
th	thai
bo	tibetaneg
ti	tigrigna
to	tonga
ts	tsonga
tn	tswana
tr	turkeg
tk	turkmeneg
tw	twi
uk	ukraineg
ve	venda
vi	vietnameg
vo	volapük
wa	walloneg
wo	wolof
xh	xhosa
yi	yiddish
ii	yieg Sichuan
yo	yorouba
za	zhuang
zu	zouloueg
