ab	abchasian
aa	afar
af	afrikaans
ak	akan
sq	albanais
am	amaric
ar	arab
an	aragonais
hy	armen
as	assami
av	avaric
ae	avestic
ay	aymara
az	az
bm	bambara
eu	basc
ba	baschkir
bn	bengal
be	bieloruss
my	birman
bi	bislama
bs	bosniac
br	breton
bg	bulgar
km	cambodschan
kk	casac
ca	catalan
ch	chamorro
zh	chinais
ko	corean
kw	cornic
co	cors
cr	cree
hr	croat
ku	curd
da	danais
dz	dzongkha
he	ebraic
en	englais
en-GB	englais (GB)
en-US	englais (US)
eo	esperanto
et	eston
ee	ewe
fo	ferrais
fj	fidschian
fi	finlandais
fr	franzos
fy	fris
ff	fulah
gd	gaelic scot
gl	galician
lg	ganda
ka	georgian
ja	giapunais
el	grec
kl	grönlandais
gn	guarani
gu	gujarati
ht	haitian
ha	haussa
hz	herero
hi	hindi
ho	hiri motu
io	ido
ig	igbo
id	indonais
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiak
ga	irlandais
is	islandais
jv	javanais
yi	jiddic
kn	kannada
kr	kanuri
ks	kashmiri
ki	kikuyu
cy	kimric
rw	kinyarwanda
ky	kirghis
kv	komi
kg	kongo
kj	kuanyama
lo	laot
la	latin
lv	letton
li	limburgais
ln	lingala
lt	lituan
lu	luba-katanga
lb	luxemburgais
mk	macedon
mg	malagassi
ms	malaic
ml	malayalam
dv	maledivic
mt	maltais
gv	manx
mi	maori
mr	marathi
mh	marschallais
mn	mongolic
na	nauru
nv	navajo
nd	ndebele dal nord
nr	ndebele dal sid
ng	ndonga
ne	nepalais
nb	norvegais bokmål
no	norvegiais
nn	norvegiais nynorsk
ny	nyanja
oc	occitan
oj	ojibwa
nl	ollandais
or	oriya
om	oromo
os	ossetic
pi	pali
ps	paschto
fa	persian
pl	polac
pt	portugais
pa	punjabi
qu	quechua
rm	rumantsch
ro	rumen
rn	rundi
ru	russ
se	sami dal nord
sm	samoan
sg	sango
sa	sanscrit
sc	sard
sr	serb
sh	serbo-croat
sn	shona
ii	sichuan yi
sd	sindhi
si	singalais
cu	slav da baselgia
sk	slovac
sl	sloven
so	somali
st	sotho dal sid
es	spagnol
sw	suahili
su	sundanais
sv	svedais
ss	swazi
tg	tadjik
tl	tagalog
ty	tahitian
th	tailandais
it	talian
ta	tamil
tt	tatar
te	telugu
bo	tibetan
ti	tigrinya
tr	tirc
to	tonga
cs	tschec
ce	tschetschen
cv	tschuvasch
ts	tsonga
tn	tswana
de	tudestg
tk	turkmen
tw	twi
uk	ucranais
ug	uiguric
hu	ungarais
ur	urdu
uz	usbec
wa	vallon
ve	venda
vi	vietnamais
vo	volapuk
wo	wolof
xh	xhosa
yo	yoruba
za	zhuang
zu	zulu
