ab	abchaski
aa	afar
af	afrikaans
ay	ajmara
ak	akan
sq	albański
am	amharski
en	angielski
en-GB	angielski (GB)
en-US	angielski (USA)
ar	arabski
an	aragoński
as	asamski
av	awarski
ae	awestyjski
az	azerski
bm	bambara
eu	baskijski
ba	baszkirski
bn	bengalski
be	białoruski
my	birmański
bi	bislama
bs	bośniacki
br	bretoński
bg	bułgarski
ch	chamorro
zh	chiński
hr	chorwacki
ce	czeczeński
cs	czeski
za	czuang
cv	czuwaski
da	duński
dz	dzongkha
eo	esperanto
et	estoński
ee	ewe
fo	farerski
fj	fidżijski
fi	fiński
fr	francuski
ff	fulani
gl	galicyjski
lg	ganda
el	grecki
kl	grenlandzki
ka	gruziński
gn	guarani
gu	gudźaracki
ht	haitański
ha	hausa
he	hebrajski
hz	herero
hi	hindi
ho	hiri motu
es	hiszpański
io	ido
ig	igbo
id	indonezyjski
ia	interlingua
ie	interlingue
iu	inuktitut
ik	inupiak
ga	irlandzki
is	islandzki
ja	japoński
jv	jawajski
yi	jidysz
yo	joruba
kn	kannada
kr	kanuri
ks	kaszmirski
ca	kataloński
kk	kazachski
qu	keczua
km	khmerski
xh	khosa
ki	kikuju
rw	kinya-ruanda
ky	kirgiski
kv	komi
kg	kongo
ko	koreański
kw	kornijski
co	korsykański
cr	kri
ku	kurdyjski
kj	kwanyama
la	łaciński
lo	laotański
se	lapoński północny
li	limburgijski
ln	lingala
lt	litewski
lv	łotewski
lu	luba-katanga
lb	luksemburski
mk	macedoński
ml	malajalam
ms	malajski
dv	malediwski
mg	malgaski
mt	maltański
gv	manx
mi	maoryjski
mr	marathi
mh	marshall
mn	mongolski
na	nauru
nv	nawaho
nd	ndebele północny
nr	ndebele południowy
ng	ndonga
ne	nepalski
nl	niderlandzki
de	niemiecki
ny	njandża
no	norweski
nb	norweski (bokmål)
nn	norweski (nynorsk)
oj	odżibwa
or	orija
hy	ormiański
om	oromski
os	osetyjski
pi	palijski
ps	paszto
pa	pendżabski
fa	perski
pl	polski
pt	portugalski
oc	prowansalski
rm	retoromański
ru	rosyjski
ro	rumuński
rn	rundi
sm	samoański
sg	sango
sa	sanskryt
sc	sardyński
sr	serbski
sh	serbsko-chorwacki
tn	setswana
sd	sindhi
ss	siswati
sk	słowacki
sl	słoweński
so	somalijski
st	sotho południowy
cu	staro-cerkiewno-słowiański
sw	suahili
su	sundajski
ii	syczuański
si	syngaleski
gd	szkocki gaelicki
sn	szona
sv	szwedzki
tg	tadżycki
tl	tagalski
ty	tahitański
th	tajski
ta	tamilski
tt	tatarski
te	telugu
ti	tigrinia
to	tonga
ts	tsonga
tr	turecki
tk	turkmeński
tw	twi
bo	tybetański
ug	ujgurski
uk	ukraiński
ur	urdu
uz	uzbecki
ve	venda
vo	volapuk
cy	walijski
wa	waloński
hu	węgierski
vi	wietnamski
it	włoski
wo	wolof
fy	zachodniofryzyjski
zu	zulu
