ab	Abchasesch
aa	Afar
af	Afrikaans
ak	Akan
sq	Albanesch
am	Amharesch
ar	Arabesch
an	Aragonesesch
hy	Armenesch
as	Assamesesch
ae	Avestesch
av	Awaresch
ay	Aymara
az	az
bm	Bambara-Sprooch
ba	Baschkiresch
eu	Baskesch
bn	Bengalesch
dz	Bhutanesch
my	Birmanesch
bi	Bislama
bs	Bosnesch
br	Bretonesch
bg	Bulgaresch
ch	Chamorro-Sprooch
zh	Chinesesch
cr	Cree
tl	Dagalog
de	Däitsch
da	Dänesch
en	Englesch
en-GB	Englesch (UK)
en-US	Englesch (US)
eo	Esperanto
et	Estnesch
ee	Ewe-Sprooch
fo	Färöesch
fj	Fidschianesch
fi	Finnesch
fr	Franséisch
ff	Ful
gl	Galizesch
lg	Ganda-Sprooch
ka	Georgesch
el	Griichesch
kl	Grönlännesch
gn	Guarani
gu	Gujarati
ht	Haitianesch
ha	Hausa
he	Hebräesch
hz	Herero-Sprooch
hi	Hindi
ho	Hiri-Motu
nl	Hollännesch
io	Ido-Sprooch
ig	Igbo-Sprooch
id	Indonesesch
ia	Interlingua
ie	Interlingue
iu	Inukitut
ik	Inupiak
ga	Iresch
is	Islännesch
it	Italienesch
ja	Japanesch
jv	Javanesch
yi	Jiddesch
km	Kambodschanesch
kn	Kannada
kr	Kanuri-Sprooch
kk	Kasachesch
ks	Kaschmiresch
ca	Katalanesch
cu	Kiercheslawesch
ki	Kikuyu-Sprooch
ky	Kirgisesch
kv	Komi-Sprooch
kg	Kongolesesch
ko	Koreanesch
kw	Kornesch
co	Korsesch
hr	Kroatesch
ku	Kurdesch
kj	Kwanyama
lo	Laotesch
la	Latäin
lv	Lettesch
lb	Lëtzebuergesch
li	Limburgesch
ln	Lingala
lt	Litauesch
lu	Luba-Katanga
mg	Malagassi-Sprooch
ms	Malaiesch
ml	Malayalam
dv	Maldivesch
mt	Maltesesch
gv	Manx
mi	Maori
mr	Marathi
mh	Marschallesesch
mk	Mazedonesch
mn	Mongolesch
na	Nauruesch
nv	Navajo
ng	Ndonga
ne	Nepalesesch
nd	Nord-Ndebele-Sprooch
se	Nordsamesch
no	Norwegesch
nb	Norwegesch Bokmål
nn	Norwegesch Nynorsk
ny	Nyanja-Sprooch
oj	Ojibwa-Sprooch
oc	Okzitanesch
or	Orija
om	Oromo
os	Ossetesch
pi	Pali
pa	Pandschabesch
ps	Paschtu
fa	Persesch
pl	Polnesch
pt	Portugisesch
qu	Quechua
rm	Rätoromanesch
rw	Ruandesch
ro	Rumänesch
rn	Rundi-Sprooch
ru	Russesch
sm	Samoanesch
sg	Sango
sa	Sanskrit
sc	Sardesch
gd	Schottescht Gällesch
sv	Schwedesch
sr	Serbesch
sh	Serbo-Kroatesch
sn	Shona
ii	Sichuan Yi
sd	Sindhi
si	Singhalesesch
sk	Slowakesch
sl	Slowenesch
so	Somali
es	Spuenesch
sw	Suaheli
nr	Süd-Ndebele-Sprooch
st	Süd-Sotho-Sprooch
su	Sundanesesch
ss	Swazi
tg	Tadschikesch
ty	Tahitesch
ta	Tamilesch
tt	Tataresch
te	Telugu
th	Thailännesch
bo	Tibetesch
tr	Tierkesch
ti	Tigrinja
to	Tongaesch
cs	Tschechesch
ce	Tschetschenesch
cv	Tschuwaschesch
ts	Tsonga
tn	Tswana-Sprooch
tk	Turkmenesch
tw	Twi
ug	Uiguresch
uk	Ukrainesch
hu	Ungaresch
ur	Urdu
uz	Usbekesch
ve	Venda-Sprooch
vi	Vietnamesesch
vo	Volapük
be	Wäissrussesch
cy	Walisesch
wa	Wallounesch
fy	Westfriesesch
wo	Wolof
xh	Xhosa
yo	Yoruba
za	Zhuang
zu	Zulu
