ab	abkhasiskt
ae	ae
af	afrikaans
ak	akan
sq	albanskt
am	amhariskt
an	an
ar	arabiskt
hy	armenskt
as	assamesiskt
av	av
ay	aymara
az	azeri
bm	bambara
ba	bashkir
eu	baskiskt
bn	bengalskt
bi	bi
bs	bosniskt
br	bretonskt
bg	bulgarskt
my	burmesiskt
ch	ch
cv	chuvash
kw	corniskt
cr	cr
cu	cu
da	danskt
dv	divehi
dz	dzongkha
en	enskt
en-GB	enskt (UK)
en-US	enskt (USA)
eo	esperanto
et	estiskt
ee	ewe
ff	ff
fj	fijimál
fi	finskt
fr	franskt
fo	føroyskt
gl	galisiskt
lg	ganda
ka	georgiskt
el	grikskt
gn	guarani
gu	gujarati
ht	haitiskt
nl	hálendskt
ha	hausa
he	hebraiskt
hi	hindi
ho	ho
be	hvitarussiskt
hz	hz
ig	igbo
ik	ik
id	indonesiskt
ia	interlingua
ie	interlingue
iu	inuktitut
io	io
ga	írskt
is	íslendskt
it	italskt
ja	japanskt
jv	javanskt
yi	jiddiskt
kl	kalaallisut
kn	kannada
ks	kashmiri
ca	katalani
kk	kazakh
cs	kekkiskt
kg	kg
km	khmer
ki	kikuyu
zh	kinesiskt
rw	kinyarwanda
kj	kj
ko	koreanskt
co	korsikanskt
kr	kr
hr	kroatiskt
ku	kurdiskt
kv	kv
ky	kyrgyz
lo	laoskt
la	latín
lv	lettiskt
li	li
ln	lingala
lt	litaviskt
lu	luba-katanga
lb	luksemborgskt
mk	makedónskt
mg	malagassiskt
ms	malaiiskt
ml	malayalam
mt	maltiskt
gv	manx
mi	maori
mr	marathi
mh	mh
mn	mongolskt
na	na
ne	nepalskt
ng	ng
nd	norður ndebele
se	norður sámiskt
no	norskt
nb	norskt bókmál
nr	nr
nv	nv
ny	nyanja
nn	nýnorskt
oc	occitan
oj	oj
or	oriya
om	oromo
os	ossetiskt
ps	pashto
fa	persiskt
pi	pi
pl	pólskt
pt	portugiskiskt
pa	punjabi
qu	quechua
rm	retoromanskt
ro	rumenskt
rn	rundi
ru	russiskt
sm	samoiskt
sg	sango
sa	sanskrit
sc	sc
sr	serbiskt
sh	serbokroatiskt
st	sesotho
sn	shona
ii	sichuan yi
sd	sindhi
si	singalesiskt
gd	skotskt gæliskt
sk	slovakiskt
sl	slovenskt
so	somaliskt
es	spanskt
zu	sulu
su	sundanesiskt
sv	svenskt
sw	swahili
ss	swatiskt
tl	tagalog
ty	tahitiskt
th	tailendskt
tg	tajik
ta	tamilskt
tt	tatar
te	telugu
bo	tibetskt
ti	tigrinya
ce	tjetjenskt
to	tonganskt
ts	tsonga
tn	tswana
tr	turkiskt
tk	turkmenskt
tw	twi
de	týskt
uk	ukrainskt
hu	ungarskt
ur	urdu
uz	usbekiskt
ug	uyghur
ve	venda
fy	vestur frísiskt
vi	vjetnamesiskt
vo	vo
wa	wa
cy	walisiskt
wo	wolof
xh	xhosa
yo	yoruba
za	za
aa	aa
